기간	자치구	주택종류별	합계	2019년	2018년	2017년	2016년	2015년	2014년	2013년	2012년	2011년	2010년	2005~2009년	2000~2004년	1990~1999년	1980~1989년	1979년 이전
2019	성북구	비거주용 건물내 주택	1,465	18	27	18	24	12	15	17	23	31	31	71	157	433	302	286
2019	강북구	계	97,070	1,866	1,117	2,344	2,666	2,007	2,105	2,216	1,275	2,448	3,731	5,708	22,100	31,832	8,062	7,593
2019	강북구	단독주택	18,017	36	146	174	130	54	35	38	45	45	65	224	462	7,191	2,520	6,852
2019	강북구	아파트	34,590	1,052	72	643	140	97	488	109	64	1,392	3,040	2,315	13,886	11,262	X	30
2019	강북구	연립주택	4,748	X	X	21	73	228	39	X	X	X	X	250	497	1,860	1,506	274
2019	강북구	다세대주택	38,645	768	876	1,492	2,319	1,623	1,537	2,064	1,159	996	613	2,884	7,199	11,167	3,707	241
2019	강북구	비거주용 건물내 주택	1,070	10	23	14	X	5	6	5	7	15	13	35	56	352	329	196
2019	도봉구	계	106,641	914	1,125	1,147	2,084	1,482	1,974	1,231	1,704	737	614	4,245	19,905	45,860	21,161	2,458
2019	도봉구	단독주택	8,835	18	47	58	38	22	23	19	32	24	52	100	346	4,055	1,785	2,216
2019	도봉구	아파트	64,955	195	313	42	178	35	434	328	23	36	98	2,230	13,619	30,915	16,509	X
2019	도봉구	연립주택	4,131	X	X	X	172	X	X	X	39	X	X	395	169	1,944	1,305	107
2019	도봉구	다세대주택	27,986	696	753	1,040	1,690	1,418	1,515	879	1,601	672	456	1,501	5,725	8,650	1,317	73
2019	도봉구	비거주용 건물내 주택	734	5	12	7	6	7	X	5	9	5	8	19	46	296	245	62
2019	노원구	계	187,376	605	986	954	2,134	516	1,230	1,391	1,278	667	197	7,069	23,442	82,682	61,223	3,002
2019	노원구	단독주택	6,680	13	24	117	105	64	44	52	49	49	51	151	326	2,145	949	2,541
2019	노원구	아파트	161,873	193	573	504	1,451	X	546	164	195	40	X	6,046	19,390	73,863	58,713	195
2019	노원구	연립주택	3,440	X	53	20	48	X	56	73	X	64	X	113	485	1,864	620	44
2019	노원구	다세대주택	14,684	395	322	304	519	448	581	1,099	1,028	501	135	728	3,154	4,550	739	181
2019	노원구	비거주용 건물내 주택	699	X	14	9	11	X	X	X	6	13	11	31	87	260	202	41
2019	은평구	계	148,557	6,540	4,231	4,508	4,166	5,644	3,839	2,739	4,413	8,215	9,139	18,885	28,044	30,767	11,472	5,955
2019	은평구	단독주택	15,146	51	125	111	70	48	27	44	39	46	95	351	558	5,787	2,829	4,965
2019	은평구	아파트	57,712	5,174	2,062	749	238	1,893	558	890	1,060	5,113	7,156	13,362	10,901	5,585	2,808	163
2019	은평구	연립주택	5,914	23	8	249	27	29	14	X	X	15	X	139	442	3,562	1,148	258
2019	은평구	다세대주택	68,514	1,286	2,024	3,387	3,825	3,669	3,232	1,798	3,299	3,022	1,864	4,984	16,048	15,374	4,320	382
2019	은평구	비거주용 건물내 주택	1,271	6	12	12	6	5	8	7	15	19	24	49	95	459	367	187
2019	서대문구	계	97,616	794	5,318	1,833	1,577	6,442	2,024	1,714	4,793	1,654	931	6,745	18,313	28,699	8,737	8,042
2019	서대문구	단독주택	12,958	33	64	68	78	38	40	30	37	51	49	152	480	4,279	2,156	5,403
