랭킹,채널명,카테고리,구독자수(단위:만),조회수(단위:만)
145,5 분 Tricks,지식,233,75847
146,와썹맨-Wassup Man,프로그램,232,27155
147,United CUBE (CUBE Entertainmen…,엔터테인먼트,231,68125
148,총몇명,애니,229,63442
149,밴쯔,먹방,229,62886
150,RISABAE,뷰티,227,24339
151,보라미 TV Borami TV,키즈,226,76044
152,GIRLS' GENERATION,음악,226,986
153,VIVA DANCE STUDIO,댄스,225,37091
154,BTS WORLD Official,엔터테인먼트,222,8956
155,AKMU,음악,218,42207
156,꿀키honeykki,푸드,216,25759
157,Jay Lee Painting,취미,216,29569
158,MariAndFriends,기획,215,127773
159,JOLLY,외국인,215,42432
160,또봇 V · 메탈리온 [Tobot V · Metalio…,키즈,215,259339
161,공대생 변승주 DS,기획,212,121265
162,YTN news,시사,212,406119
163,TVCHOSUN - TV조선,엔터테인먼트,211,343511
164,흔한남매,기획,209,161121
165,Hamtaro Gasa,모음,209,172133
166,런닝맨 - 스브스 공식 채널,프로그램,208,238403
167,퇴경아 약먹자,댄스,204,31242
168,4Minute 포미닛(Official YouTube C…,음악,204,109253
169,캐리TV,키즈,201,242249
170,진용진,기획,200,44843
171,PLAYERUNKNOWN'S BATTLEGROUNDS,Brand,200,16777
172,Toy Wizard [토이위자드],키즈,200,75062
173,레이디버그TV,키즈,199,98876
174,디바제시카DeevaJessica,리뷰,197,75559
175,JTBC Voyage,엔터테인먼트,197,197133
176,엔조이커플enjoycouple,기획,197,58284
177,여자친구 GFRIEND OFFICIAL,음악,197,26927
178,감스트GAMST,게임,195,115381
179,official IZ*ONE,음악,195,28892
180,수리노을SuriNoel,펫,195,64029
181,잠뜰 TV,게임,193,207881
182,The World of Dave데이브,외국인,193,43198
183,EXID_OFFICIAL,음악,190,57966
184,SBS ENTER PLAY,엔터테인먼트,189,134820
185,뉴욕이랑 놀자,키즈,189,89153
186,EBSDocumentary (EBS 다큐),엔터테인먼트,188,168574
187,tvN D STORY,드라마,185,45551
188,JEKS Coreana,Korean,184,1553
189,woolliment,엔터테인먼트,183,64563
190,CHEN,음악,183,2689
191,odg,Brand,183,26873
192,OfficialGDRAGON,음악,182,0
193,SUPER JUNIOR,음악,181,1486
194,올리버쌤,외국인,180,34771
195,최고다윽박EUGBAK,일상,179,77369
196,꾹TV(Kkuk TV),기획,178,96316
197,악동 김블루,게임,177,77412
198,대도서관TV (buzzbean11),게임,174,136001
199,ASMR Suna 꿀꿀선아,ASMR,173,37916
200,보물섬,기획,172,88932
201,International Couple[사샤와 제이],일상,172,15369
202,양띵 유튜브,게임,171,18154
203,셀프어쿠스틱selfacoustic,애니,171,35693
204,슈기님,먹방,169,6413
205,HONG SOUND,먹방,166,34304
206,더블비,기획,165,82271
207,ARIRANG K-POP,Korean,165,62923
208,"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",키즈,162,155968
209,사나이 김기훈,기획,161,56838
210,김재원의 즐거운 세상,게임,161,143610
211,heyitsfeiii,외국인,161,25873
212,STUDIO CHOOM [스튜디오 춤],댄스,161,44479
213,흥삼,먹방,160,75407
214,BTOB 비투비 (Official YouTube Cha…,음악,160,31785
215,밝은 면 Bright Side Korea,지식,159,36695
216,ITSub잇섭,리뷰,157,42087
217,ssin 씬님,뷰티,157,42657
218,조재원,기획,156,35315
219,입짧은햇님,먹방,154,53347
220,뜨뜨뜨뜨,게임,154,59634
221,콬TV,드라마,152,46346
222,태경 TV,게임,152,202554
223,철구형 (CHULTUBE),일상,151,129699
224,CoCosToy,키즈,151,68714
225,채널A Home,엔터테인먼트,150,166688
226,JerryPop,취미,150,51934
227,브라보키즈_BRAVO KIDS,키즈,147,147809
228,JTBC News,시사,146,17924
229,엠브로 MBRO,먹방,146,49049
230,SPOTV,엔터테인먼트,146,101201
231,버블디아,음악,146,36633
232,[Nareum_TV] 나름TV,먹방,146,48999
233,덕대-DD film,키즈,144,65195
234,ARIKITCHEN (아리키친),푸드,144,32070
235,내셔널지오그래픽 - National Geographic…,엔터테인먼트,144,57315
236,NU'EST,음악,144,18811
237,dingo freestyle,엔터테인먼트,140,66541
238,웃소 Wootso,기획,140,105578
239,Solfa,기획,140,23417
240,K-Tigers TV,댄스,139,18792
241,KQ ENTERTAINMENT,엔터테인먼트,139,44150
242,지니키즈 Genikids (인기 동요・동화),키즈,138,102600
