ID,y,x,benz 매장수,BMW 매장수,VW 매장수,포르쉐 매장수,BENZ 매장수,합계
화성,9,3,0.0,0.0,0.0,0.0,0.0,0.0
거제,22,8,0.0,0.0,0.0,0.0,0.0,0.0
거창,16,6,0.0,0.0,0.0,0.0,0.0,0.0
고성(경남),22,7,0.0,0.0,0.0,0.0,0.0,0.0
김해,20,9,0.0,0.0,0.0,0.0,0.0,0.0
남해,22,6,0.0,0.0,0.0,0.0,0.0,0.0
창원 합포,19,8,0.0,0.0,0.0,0.0,0.0,0.0
창원 회원,21,7,0.0,0.0,0.0,0.0,0.0,0.0
밀양,17,8,0.0,0.0,0.0,0.0,0.0,0.0
사천,21,6,0.0,0.0,0.0,0.0,0.0,0.0
산청,19,5,0.0,0.0,0.0,0.0,0.0,0.0
창원 성산,20,7,0.0,0.0,0.0,0.0,0.0,0.0
양산,19,7,0.0,0.0,0.0,0.0,0.0,0.0
의령,18,7,0.0,0.0,0.0,0.0,0.0,0.0
창원 의창,20,6,0.0,0.0,0.0,0.0,0.0,0.0
진주,18,6,0.0,0.0,0.0,0.0,0.0,0.0
창원 진해,20,8,0.0,0.0,0.0,0.0,0.0,0.0
창녕,17,7,0.0,0.0,0.0,0.0,0.0,0.0
통영,21,8,0.0,0.0,0.0,0.0,0.0,0.0
하동,20,5,0.0,0.0,0.0,0.0,0.0,0.0
함안,19,6,0.0,0.0,0.0,0.0,0.0,0.0
함양,17,6,0.0,0.0,0.0,0.0,0.0,0.0
합천,16,7,0.0,0.0,0.0,0.0,0.0,0.0
경산,12,11,0.0,0.0,0.0,0.0,0.0,0.0
경주,12,12,0.0,0.0,0.0,0.0,0.0,0.0
고령,13,9,0.0,0.0,0.0,0.0,0.0,0.0
구미,10,10,0.0,0.0,0.0,0.0,0.0,0.0
군위,11,10,0.0,0.0,0.0,0.0,0.0,0.0
김천,11,9,0.0,0.0,0.0,0.0,0.0,0.0
포항 남구,11,12,0.0,0.0,0.0,0.0,0.0,0.0
문경,8,10,0.0,0.0,0.0,0.0,0.0,0.0
봉화,8,11,0.0,0.0,0.0,0.0,0.0,0.0
포항 북구,10,12,0.0,0.0,0.0,0.0,0.0,0.0
상주,11,8,0.0,0.0,0.0,0.0,0.0,0.0
성주,13,11,0.0,0.0,0.0,0.0,0.0,0.0
안동,9,10,0.0,0.0,0.0,0.0,0.0,0.0
영덕,7,11,0.0,0.0,0.0,0.0,0.0,0.0
영양,9,11,0.0,0.0,0.0,0.0,0.0,0.0
영주,10,9,0.0,0.0,0.0,0.0,0.0,0.0
영천,12,10,0.0,0.0,0.0,0.0,0.0,0.0
예천,10,8,0.0,0.0,0.0,0.0,0.0,0.0
울릉,8,13,0.0,0.0,0.0,0.0,0.0,0.0
울진,6,11,0.0,0.0,0.0,0.0,0.0,0.0
의성,11,11,0.0,0.0,0.0,0.0,0.0,0.0
청도,13,10,0.0,0.0,0.0,0.0,0.0,0.0
청송,10,11,0.0,0.0,0.0,0.0,0.0,0.0
칠곡,12,9,0.0,0.0,0.0,0.0,0.0,0.0
광주 광산,21,2,0.0,0.0,0.0,0.0,0.0,0.0
광주 남구,23,2,0.0,0.0,0.0,0.0,0.0,0.0
광주 동구,23,3,0.0,0.0,0.0,0.0,0.0,0.0
광주 북구,22,3,1.0,0.0,0.0,0.0,1.0,1.0
광주 서구,22,2,0.0,0.0,0.0,0.0,0.0,0.0
대구 남구,15,9,1.0,0.0,0.0,0.0,1.0,1.0
대구 달서,16,8,0.0,0.0,0.0,0.0,0.0,0.0
대구 달성,16,9,0.0,0.0,0.0,0.0,0.0,0.0
대구 동구,15,10,0.0,0.0,0.0,0.0,0.0,0.0
대구 북구,14,8,0.0,0.0,0.0,0.0,0.0,0.0
대구 서구,15,8,1.0,2.0,0.0,0.0,1.0,3.0
대구 수성,14,10,0.0,0.0,0.0,0.0,0.0,0.0
대구 중구,14,9,0.0,0.0,0.0,0.0,0.0,0.0
대전 대덕,13,5,0.0,0.0,0.0,0.0,0.0,0.0
대전 동구,14,5,0.0,0.0,0.0,0.0,0.0,0.0
대전 서구,16,4,0.0,0.0,0.0,0.0,0.0,0.0
대전 유성,15,4,0.0,0.0,0.0,0.0,0.0,0.0
대전 중구,15,5,0.0,0.0,0.0,0.0,0.0,0.0
부산 강서,18,8,1.0,0.0,0.0,0.0,1.0,1.0
부산 금정,16,10,0.0,0.0,0.0,0.0,0.0,0.0
부산 기장,16,12,0.0,0.0,0.0,0.0,0.0,0.0
부산 남구,19,11,0.0,0.0,0.0,0.0,0.0,0.0
부산 동구,18,10,0.0,0.0,0.0,0.0,0.0,0.0
부산 동래,16,11,0.0,0.0,0.0,0.0,0.0,0.0
부산 부산진,17,10,0.0,0.0,0.0,0.0,0.0,0.0
부산 북구,17,9,0.0,0.0,0.0,0.0,0.0,0.0
부산 사상,18,9,1.0,0.0,0.0,0.0,1.0,1.0
부산 사하,19,10,0.0,0.0,0.0,0.0,0.0,0.0
부산 서구,19,9,0.0,0.0,0.0,0.0,0.0,0.0
부산 수영,20,11,1.0,1.0,2.0,0.0,1.0,4.0
부산 연제,17,11,0.0,0.0,0.0,0.0,0.0,0.0
부산 영도,20,10,0.0,0.0,0.0,0.0,0.0,0.0
부산 중구,18,11,0.0,0.0,0.0,0.0,0.0,0.0
부산 해운대,17,12,0.0,0.0,0.0,0.0,0.0,0.0
서울 강남,8,6,8.0,2.0,2.0,0.0,8.0,12.0
서울 강동,5,8,0.0,0.0,0.0,0.0,0.0,0.0
서울 강북,3,5,0.0,0.0,0.0,0.0,0.0,0.0
서울 강서,6,4,0.0,0.0,0.0,0.0,0.0,0.0
서울 관악,7,5,0.0,0.0,0.0,0.0,0.0,0.0
서울 광진,6,7,0.0,0.0,0.0,0.0,0.0,0.0
서울 구로,9,4,0.0,0.0,0.0,0.0,0.0,0.0
서울 금천,8,5,0.0,0.0,0.0,0.0,0.0,0.0
서울 노원,2,6,0.0,0.0,0.0,0.0,0.0,0.0
서울 도봉,2,5,0.0,0.0,0.0,0.0,0.0,0.0
서울 동대문,4,7,0.0,0.0,0.0,0.0,0.0,0.0
서울 동작,6,5,0.0,0.0,0.0,0.0,0.0,0.0
서울 마포,5,5,0.0,0.0,0.0,0.0,0.0,0.0
서울 서대문,4,5,0.0,0.0,0.0,0.0,0.0,0.0
서울 서초,7,6,3.0,4.0,0.0,0.0,3.0,7.0
서울 성동,5,7,2.0,0.0,0.0,0.0,2.0,2.0
서울 성북,3,6,0.0,0.0,0.0,0.0,0.0,0.0
서울 송파,6,8,0.0,0.0,0.0,0.0,0.0,0.0
서울 양천,7,4,0.0,0.0,0.0,0.0,0.0,0.0
서울 영등포,8,4,0.0,0.0,0.0,0.0,0.0,0.0
서울 용산,6,6,0.0,0.0,0.0,0.0,0.0,0.0
서울 은평,5,4,0.0,0.0,0.0,0.0,0.0,0.0
서울 종로,4,6,0.0,0.0,0.0,0.0,0.0,0.0
서울 중구,5,6,1.0,0.0,0.0,0.0,1.0,1.0
서울 중랑,4,8,0.0,0.0,0.0,0.0,0.0,0.0
세종,13,4,0.0,0.0,0.0,0.0,0.0,0.0
울산 남구,15,12,0.0,0.0,0.0,0.0,0.0,0.0
울산 동구,14,12,0.0,0.0,0.0,0.0,0.0,0.0
울산 북구,13,12,0.0,0.0,0.0,0.0,0.0,0.0
울산 울주,14,11,0.0,0.0,0.0,0.0,0.0,0.0
울산 중구,15,11,0.0,0.0,0.0,0.0,0.0,0.0
인천 강화,5,1,0.0,0.0,0.0,0.0,0.0,0.0
인천 계양,7,2,0.0,0.0,0.0,0.0,0.0,0.0
인천 남동,10,2,1.0,0.0,0.0,1.0,1.0,2.0
인천 동구,6,2,0.0,0.0,0.0,0.0,0.0,0.0
인천 미추홀,9,2,0.0,0.0,0.0,0.0,0.0,0.0
인천 부평,8,2,0.0,0.0,0.0,0.0,0.0,0.0
인천 서구,6,1,0.0,0.0,0.0,0.0,0.0,0.0
인천 연수,10,1,0.0,0.0,0.0,0.0,0.0,0.0
인천 옹진,10,0,0.0,0.0,0.0,0.0,0.0,0.0
인천 중구,9,1,1.0,1.0,0.0,0.0,1.0,2.0
강진,24,1,0.0,0.0,0.0,0.0,0.0,0.0
고흥,22,5,0.0,0.0,0.0,0.0,0.0,0.0
곡성,21,3,0.0,0.0,0.0,0.0,0.0,0.0
광양,21,5,0.0,0.0,0.0,0.0,0.0,0.0
구례,20,4,0.0,0.0,0.0,0.0,0.0,0.0
나주,22,1,0.0,0.0,0.0,0.0,0.0,0.0
담양,20,2,0.0,0.0,0.0,0.0,0.0,0.0
목포,22,0,0.0,0.0,0.0,0.0,0.0,0.0
무안,21,1,0.0,0.0,0.0,0.0,0.0,0.0
보성,24,3,0.0,0.0,0.0,0.0,0.0,0.0
순천,22,4,0.0,0.0,0.0,0.0,0.0,0.0
신안,21,0,0.0,0.0,0.0,0.0,0.0,0.0
여수,23,4,0.0,0.0,0.0,0.0,0.0,0.0
영광,19,1,0.0,0.0,0.0,0.0,0.0,0.0
영암,23,1,0.0,0.0,0.0,0.0,0.0,0.0
완도,25,2,0.0,0.0,0.0,0.0,0.0,0.0
장성,19,2,0.0,0.0,0.0,0.0,0.0,0.0
장흥,24,2,0.0,0.0,0.0,0.0,0.0,0.0
