,광역시도,시도,20~39세남자,20~39세여자,20~39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
237,충북, 단양군,2096,1746,3842,3481,4474,7955,13293,13185,26478,0.43896920175989945,True
238,충북, 보은군,2339,1949,4288,4255,5770,10025,14864,15081,29945,0.3888279301745636,True
239,충북, 영동군,4056,3394,7450,5701,7732,13433,22177,22386,44563,0.5053227127224,True
240,충북, 옥천군,4027,3530,7557,5705,7472,13177,22957,23225,46182,0.5357820444714275,True
241,충북, 음성군,10207,8489,18696,7459,9405,16864,44540,41211,85751,1.006759962049336,False
242,충북, 제천시,14204,12484,26688,11618,14498,26116,63363,63303,126666,0.9560422729361311,True
243,충북, 증평군,4972,4087,9059,2460,3260,5720,18166,17298,35464,1.4290209790209791,False
244,충북, 진천군,10355,8623,18978,5177,6966,12143,39378,36819,76197,1.4202421147986495,False
245,충북, 충주시,25700,21483,47183,16091,21483,37574,101311,99746,201057,1.1435034864533986,False
246,충북,상당구,20426,19444,39870,11028,14557,25585,82711,85162,167873,1.519953097518077,False
247,충북,서원구,27838,25609,53447,11415,15049,26464,97386,99616,197002,1.9353839177750907,False
248,충북,청원구,30875,26880,57755,9432,12476,21908,95997,92726,188723,2.4538981194084353,False
249,충북,흥덕구,38895,36141,75036,11543,14797,26340,124808,124118,248926,2.7441913439635535,False
